Completeness,Knowledge Alignment,Diversity,Overall
Answer 1,Answer 2,Answer 1,Answer 1
Answer 1,Answer 1,Answer 1,Answer 1
Answer 1,Answer 1,Answer 1,Answer 1
Answer 2,Answer 2,Answer 1,Answer 2
Answer 2,Answer 2,Answer 1,Answer 2
Answer 2,Answer 2,Answer 2,Answer 2
Answer 1,Answer 2,Answer 1,Answer 1
Answer 1,Answer 1,Answer 2,Answer 1
Answer 2,Answer 2,Answer 1,Answer 2
Answer 2,Answer 2,Answer 1,Answer 2
Answer 2,Answer 1,Answer 2,Answer 2
Answer 1,Answer 1,Answer 2,Answer 1
Answer 2,Answer 2,Answer 1,Answer 2
Answer 2,Answer 2,Answer 2,Answer 2
