index,Question,Baseline,EDULLM,Evaluation
1,"Question: Which of the following decision(s) is(are) associated with capital structure management? I. Company XYZ deciding to build a new plant in India II. Company XYZ deciding to issue $15million worth of new bonds in the stock market III. Company XYZ deciding to take a 25-year loan from a bank at an APR of 8% IV. Company XYZ deciding to use cash to purchase $20,000 of raw materials from its supplier
Type: multiple-choice
Options:
    a. II only
    b. III only
    c. IV only
    d. I and II only
    e. II and III only
    f. II and IV only
","**Question:** A company is considering different financing options to raise capital for a new project. The management team is evaluating the trade-offs between issuing new equity and taking on additional debt. Which of the following statements accurately describes the impact of these financing decisions on the company's capital structure?  

**Type:** multiple-choice  
**Options:**  
A. Issuing new equity will increase financial leverage and reduce the risk of bankruptcy.  
B. Taking on additional debt will dilute existing shareholders' ownership but lower the cost of capital.  
C. Using debt financing increases tax shields due to interest deductibility but also raises financial risk.  
D. Equity financing does not affect the company's control structure or voting rights of existing shareholders.  
E. Both debt and equity financing have identical impacts on a firm's weighted average cost of capital (WACC).  

**Knowledge Points:**  
- Capital structure management  
- Debt vs. equity financing trade-offs  
- Impact of financing decisions on financial risk and cost of capital","**Question:** Which of the following decision(s) is(are) associated with working capital management?  
I. Company ABC deciding to extend its accounts payable period from 30 to 45 days  
II. Company ABC deciding to issue $10 million in new common stock  
III. Company ABC deciding to increase its inventory levels by 20% to prepare for seasonal demand  
IV. Company ABC deciding to invest in a new long-term project with a 10-year payback period  

Type: multiple-choice  
Options:  
    a. I only  
    b. III only  
    c. I and III only  
    d. II and IV only  
    e. I, II, and III only  
    f. II, III, and IV only","{'Completeness': {'Winner': 'Answer 1', 'Explanation': ""Answer 1 provides a clear stem, constraints, and query, making it solvable without ambiguity. The question is well-structured and includes all necessary components. Answer 2, while complete, slightly deviates from the original question's focus on capital structure management, which might confuse students about the intended topic.""}, 'Knowledge Alignment': {'Winner': 'Answer 1', 'Explanation': ""Answer 1 accurately targets the intended knowledge point of capital structure management and the cognitive level by focusing on the trade-offs between debt and equity financing. Answer 2 shifts the focus to working capital management, which is a different topic and does not align with the original question's knowledge point.""}, 'Diversity': {'Winner': 'Answer 1', 'Explanation': 'Answer 1 introduces varied perspectives by discussing the impacts of different financing decisions on financial leverage, tax shields, and cost of capital. This approach provides a broader understanding of the topic. Answer 2, while diverse in its options, does not offer the same depth or variety in assessing capital structure management.'}, 'Overall': {'Winner': 'Answer 1'}}"
2,"Question: Which of the following statement(s) is (are) true about business organizational forms? I. When the CEO of a corporation holds more equity shares of this corporation, the agency problem is less severe II. A general partnership has limited liability III. A disadvantage of corporation is it is double taxed IV. It is easier to start a business as a corporation than as a sole proprietorship V. Sole proprietorships are taxed on personal income VI. It is hard for sole proprietorships to raise capital and they have limited growth opportunities
Type: multiple-choice
Options:
    a. I, II, III and V only
    b. II, III, IV and VI only
    c. I, III, V, and VI only
    d. I, III, IV, and V only
    e. II, IV, V, and VI only
    f. All I, II, II, IV, V and VI are true
","**Question**: A corporation is considering issuing dividends to its shareholders. The board of directors is aware that distributing profits as dividends will result in the shareholders being taxed on this income, and the corporation itself cannot deduct these dividend payments from its taxable income. Which of the following best describes this situation? Type: multiple-choice Options:     A. Agency problem     B. Double taxation     C. General partnership liability     D. Limited liability     E. Dividend exemption 
knowledge points: Corporation double taxation,Shareholder taxation,Dividend distribution","**Question:** Which of the following statement(s) is (are) accurate regarding financial management and business structures?  
I. A sole proprietorship has unlimited liability but is the easiest business form to establish.  
II. In a corporation, shareholders have limited liability, but the business faces double taxation.  
III. A limited partnership must have at least one general partner who manages the business and assumes unlimited liability.  
IV. The primary goal of financial management is to maximize shareholder wealth, not just profits.  
V. A general partnership does not require a formal agreement and all partners share liability equally.  
VI. Agency problems arise when managers prioritize personal interests over shareholder interests.  

Type: multiple-choice  
Options:  
    a. I, II, and IV only  
    b. II, III, V, and VI only  
    c. I, II, III, and VI only  
    d. I, III, IV, and V only  
    e. II, IV, V, and VI only  
    f. All I, II, III, IV, V, and VI are true","{'Completeness': {'Winner': 'Answer 2', 'Explanation': 'Answer 2 includes a stem, multiple statements (constraints), and a clear query with multiple-choice options, making it fully solvable without ambiguity. Answer 1, while complete, is simpler and lacks the depth of multiple statements to evaluate.'}, 'Knowledge Alignment': {'Winner': 'Answer 2', 'Explanation': ""Answer 2 accurately targets a broader range of knowledge points related to financial management and business structures, aligning well with the original question's intent. Answer 1 focuses narrowly on double taxation, which, while relevant, does not cover as much ground as Answer 2.""}, 'Diversity': {'Winner': 'Answer 2', 'Explanation': 'Answer 2 introduces varied perspectives and formats by including multiple statements about different business structures and financial management principles. Answer 1, while clear, is more limited in scope and does not offer the same level of diversity in assessing the topic.'}, 'Overall': {'Winner': 'Answer 2'}}"
3,"Question: Which of the following statement(s) is(are) true about a discount bond? I. Price of bond will decrease over time as it approaches maturity, given all else unchanged II. Before the bond matures, the price of the bond is lower than its face value III. Coupon rate of the bond is lower than the yield to maturity IV. Bond value will decrease if coupon rate decreases, given all else unchanged V. Value of the bond would decrease if the yield to maturity decrease, given all else unchanged
Type: multiple-choice
Options:
    a. II, III and IV only
    b. I, II, and IV only
    c. I, II, III, and IV only
    d. II, III, IV and V only
    e. I, II, III and V only
    f. All I, II, III, IV and V are true
","**Question:** A bond is currently trading at a price above its par value. Which of the following statements must be true for this bond?  

I. The bond is selling at a premium.  
II. The yield to maturity is higher than the coupon rate.  
III. The coupon rate is higher than the yield to maturity.  
IV. The current yield is less than the coupon rate.  
V. The bond is a zero-coupon bond.  

**Type:** multiple-choice  
**Options:**  
A. I and III only  
B. I and IV only  
C. I, III, and IV  
D. II and V only  
E. III and V only  

**Knowledge points:** Relationship between bond price and yield to maturity, Bond pricing terminology (premium vs. discount), Coupon rate and yield comparisons, Current yield vs. coupon rate.","**Question:** Which of the following statement(s) is(are) true about a premium bond?  
I. Price of the bond will increase over time as it approaches maturity, given all else unchanged  
II. Before the bond matures, the price of the bond is higher than its face value  
III. Coupon rate of the bond is higher than the yield to maturity  
IV. Bond value will increase if coupon rate increases, given all else unchanged  
V. Value of the bond would increase if the yield to maturity decreases, given all else unchanged  

Type: multiple-choice  
Options:  
    a. II, III and IV only  
    b. I, II, and IV only  
    c. I, II, III, and IV only  
    d. II, III, IV and V only  
    e. I, II, III and V only  
    f. All I, II, III, IV and V are true","{'Completeness': {'Winner': 'Answer 2', 'Explanation': ""Both questions are complete in terms of having a stem, constraints, and query. However, Answer 2 mirrors the structure of the original question more closely, making it immediately clear and solvable without ambiguity. Answer 1 introduces a slightly different scenario (bond trading above par value) which, while complete, may require a bit more cognitive load to align with the original question's intent.""}, 'Knowledge Alignment': {'Winner': 'Answer 2', 'Explanation': ""Answer 2 directly addresses the concept of a premium bond, which is the inverse of the original question's focus on a discount bond. This makes it highly aligned with the intended knowledge point and cognitive level. Answer 1, while relevant, mixes concepts (premium bond, zero-coupon bond) which slightly dilutes the focus on the core knowledge point.""}, 'Diversity': {'Winner': 'Answer 1', 'Explanation': 'Answer 1 introduces a more varied set of concepts (premium bond, zero-coupon bond, current yield) and a different scenario (bond trading above par value), providing a broader assessment of related knowledge. Answer 2, while excellent in alignment and completeness, is more straightforward and less diverse in its approach compared to Answer 1.'}, 'Overall': {'Winner': 'Answer 2'}}"
4,"Question: Which of the above bond has the lowest interest rate risk? Bond A is a 13-year bond that pays out annual coupon of $40 and has a face value of $2000. Bond B will mature in 10 years and has a coupon rate of 9%. Bond C is a zero-coupon bond that has a time to maturity of 15 years. Bond D has an annual coupon payment of $20 and will mature in 20 years. Bond E is a 15-year bond with a face value of $3,000 and pays out annual coupons of $270.
Type: multiple-choice
Options:
    a. Bond A
    b. Bond B
    c. Bond C
    d. Bond D
    e. Bond E
    f. Not enough information is available
","**Question:** Which of the following bonds will experience the greatest percentage change in price for a given shift in interest rates?  

**Type:** multiple-choice  
**Options:**  
A. A 5-year bond with a 6% coupon rate  
B. A 10-year bond with a 6% coupon rate  
C. A 10-year zero-coupon bond  
D. A 5-year zero-coupon bond  
E. A 20-year bond with a 4% coupon rate  

**Knowledge points:**  
- Impact of maturity on bond price sensitivity  
- Effect of coupon payments on interest rate risk  
- Zero-coupon bond price volatility compared to coupon bonds","**Question:** XYZ Corporation has five different bonds currently outstanding. Which one of the following bonds has the greatest interest rate risk? 

Bond F is a 12-year bond that pays an annual coupon of $50 and has a face value of $1,500.  
Bond G will mature in 8 years and has a coupon rate of 8%.  
Bond H is a zero-coupon bond with a time to maturity of 18 years.  
Bond I has an annual coupon payment of $30 and will mature in 25 years.  
Bond J is a 10-year bond with a face value of $2,000 and pays annual coupons of $160.  

Type: multiple-choice  
Options:  
    a. Bond F  
    b. Bond G  
    c. Bond H  
    d. Bond I  
    e. Bond J  
    f. Not enough information is available","{'Completeness': {'Winner': 'Answer 2', 'Explanation': 'Answer 2 provides a complete scenario with specific details about each bond (e.g., maturity, coupon payments, face value), similar to the original question. Answer 1, while complete, lacks the detailed bond descriptions that make the question more concrete and solvable without ambiguity.'}, 'Knowledge Alignment': {'Winner': 'Answer 1', 'Explanation': 'Answer 1 directly targets the knowledge points related to bond price sensitivity and interest rate risk, with clear distinctions between coupon bonds and zero-coupon bonds of varying maturities. Answer 2 aligns well but is more similar to the original question, offering less novelty in testing the same knowledge points.'}, 'Diversity': {'Winner': 'Answer 1', 'Explanation': ""Answer 1 introduces a different format by asking about the greatest percentage change in price for a given shift in interest rates, which is a slightly different angle than the original question. It also includes a mix of coupon and zero-coupon bonds with varying maturities, providing a broader assessment of the topic. Answer 2, while well-structured, closely mirrors the original question's format and content.""}, 'Overall': {'Winner': 'Answer 1'}}"
5,"Question: High Growth Bank wants to charge an EAR of 9% on their borrowers. If quarterly compounding is used, the bank needs to report an APR of _____. Choose the closest answer.
Type: multiple-choice
Options:
    a. 8.5%
    b. 8.7%
    c. 8.9%
    d. 9.0%
    e. 9.4%
","**Question**: A savings account offers a nominal interest rate of 6% per year, but compounds interest monthly. Another savings account offers a nominal rate of 6.1% per year, but compounds interest annually. Which account provides a higher effective annual rate (EAR)? Type: multiple-choice Options:  
A. The first account; monthly compounding results in a higher EAR.  
B. The second account; the higher nominal rate outweighs the lower compounding frequency.  
C. Both accounts have the same EAR because the nominal rates are nearly identical.  
D. The first account; the compounding frequency has no effect on the EAR.  
E. The second account; annual compounding always yields a higher EAR than monthly compounding.  
knowledge points: Effective annual rate EAR, Annual percentage rate APR, Compounding frequency impact, Nominal vs. effective interest rates","**Question:** Prosperity Credit Union aims to offer an EAR of 6% on their savings accounts. If monthly compounding is used, the credit union needs to advertise an APR of _____. Choose the closest answer.
Type: multiple-choice
Options:
    a. 5.5%
    b. 5.8%
    c. 6.0%
    d. 6.2%
    e. 6.5%","{'Completeness': {'Winner': 'Answer 2', 'Explanation': ""Both questions are complete with a stem, constraints, and query. However, Answer 2 mirrors the structure of the original question more closely, making it immediately clear what is being asked without any ambiguity. Answer 1, while complete, introduces a comparison between two accounts, which adds a layer of complexity that isn't present in the original question.""}, 'Knowledge Alignment': {'Winner': 'Answer 2', 'Explanation': ""Answer 2 directly targets the knowledge point of converting EAR to APR with a given compounding frequency, which aligns perfectly with the original question's intent. Answer 1, while related, shifts focus to comparing EARs under different compounding frequencies, which is a different application of the knowledge point.""}, 'Diversity': {'Winner': 'Answer 1', 'Explanation': 'Answer 1 introduces a different scenario that requires comparing two accounts with different compounding frequencies, providing a varied perspective on the topic. This adds diversity by testing the understanding of how compounding frequency affects EAR, which is not covered in the original question or Answer 2.'}, 'Overall': {'Winner': 'Answer 2'}}"
6,"Question: Stock ABC is a constant growth stock that would pay out dividends each year till forever. A dividend of $2 was just paid today and the price of stock ABC today is $210. One year from today (at the end of Year 1), the stock price is $220.5 (after Year-1’s dividend is just paid). The required return is _____, capital gains yield is _____, dividend yield is _____. Choose the closest answer.
Type: multiple-choice
Options:
    a. 6.5%, 5%, 1.1%
    b. 6%, 1%, 5%
    c. 6%, 5%, 1%
    d. 5%, 1%, 4%
    e. 5.5%, 5%, 0.5%
","**Question:**  
ABC Corporation has a required rate of return of 8%. The company just paid a dividend of $1.50 per share, and its dividends are expected to grow at a constant rate of 5% per year indefinitely. What is the expected dividend yield for ABC Corporation's stock this year?  

**Type:** multiple-choice  
**Options:**  
A. 3%  
B. 3.5%  
C. 4%  
D. 4.5%  
E. Not enough information to answer  

**Knowledge points:**  
Dividend Discount Model with constant growth, Dividend yield calculation, Relationship between required return and growth rate","**Question:** Stock XYZ is a constant growth stock that pays dividends annually indefinitely. A dividend of $3 was just paid today, and the current stock price is $150. One year from today (at the end of Year 1), the stock price is projected to be $157.5 (after Year-1’s dividend is paid). The required return is _____, capital gains yield is _____, and dividend yield is _____. Choose the closest answer.
Type: multiple-choice
Options:
    a. 7%, 5%, 2%
    b. 6%, 4%, 2%
    c. 8%, 5%, 3%
    d. 5%, 3%, 2%
    e. 7.5%, 5%, 2.5%","{'Completeness': {'Winner': 'Answer 2', 'Explanation': 'Answer 2 includes all necessary components (stem, constraints, and query) to be solvable without ambiguity, similar to the original question. It provides the current dividend, stock price, and projected future stock price, along with a clear query about required return, capital gains yield, and dividend yield. Answer 1, while complete, focuses only on the dividend yield and does not cover the full scope of the original question.'}, 'Knowledge Alignment': {'Winner': 'Answer 2', 'Explanation': ""Answer 2 accurately targets the intended knowledge point and cognitive level by asking for the required return, capital gains yield, and dividend yield, which aligns with the original question's focus on constant growth stock valuation. Answer 1 narrows the focus to just the dividend yield, which is a subset of the original question's scope.""}, 'Diversity': {'Winner': 'Answer 1', 'Explanation': 'Answer 1 introduces a different perspective by focusing solely on the dividend yield and using a different set of numbers and growth rate. This provides a varied approach to assessing the topic, albeit narrower in scope. Answer 2, while comprehensive, closely mirrors the format and approach of the original question, offering less diversity in assessment style.'}, 'Overall': {'Winner': 'Answer 2'}}"
7,"Question: Below the table shows the credit ratings of bonds and the corresponding YTMs. A bond has an AA rating. The price of the bond is $2040.16 and this bond makes semi-annual coupon payments. If it matures in 20 years, what is the coupon rate of this bond? Choose the closest answer.
Type: multiple-choice
Options:
    a. 5%
    b. 10%
    c. 15%
    d. 20%
    e. 25%
","**Question:**  

A bond with a face value of $1,000 pays semi-annual coupons and has a current price of $1,150. The bond has a yield to maturity (YTM) of 5% and 8 years remaining until maturity.  

a) What is the semi-annual coupon payment of the bond?  
b) What is the annual coupon rate of the bond?  

**Type:** short-answer  
**Options:** No options provided.  

**Knowledge Points:**  
- Bond pricing and YTM relationship  
- Semi-annual coupon payments calculation  
- Coupon rate determination from bond price","**Question:** A corporate bond has a BBB rating and a face value of $1,000. The bond is currently priced at $1,250.50 and pays semi-annual coupons. If the bond matures in 15 years, what is its yield to maturity (YTM)? Choose the closest answer.  
Type: multiple-choice  
Options:  
    a. 4.5%  
    b. 5.0%  
    c. 5.5%  
    d. 6.0%  
    e. 6.5%","{'Completeness': {'Winner': 'Answer 2', 'Explanation': 'Answer 2 provides all necessary components (stem, constraints, and query) in a clear and solvable format, including a multiple-choice structure that mirrors the original question. Answer 1, while detailed, lacks options and requires short-answer responses, which may introduce ambiguity in grading or interpretation.'}, 'Knowledge Alignment': {'Winner': 'Answer 2', 'Explanation': ""Answer 2 aligns closely with the original question's knowledge point (bond pricing and YTM) and cognitive level (application). It focuses on YTM calculation, a core concept in bond valuation. Answer 1 shifts focus to coupon payment and rate, which, while related, deviates slightly from the original question's emphasis on YTM and coupon rate.""}, 'Diversity': {'Winner': 'Answer 1', 'Explanation': 'Answer 1 introduces diversity by breaking the question into two parts (semi-annual coupon payment and annual coupon rate) and using a short-answer format, which offers a different approach to assessing the topic. Answer 2, while well-structured, follows a more conventional multiple-choice format similar to the original question.'}, 'Overall Winner': 'Answer 2', 'Overall Explanation': ""Answer 2 wins due to its superior completeness and knowledge alignment, which are critical for effective assessment. While Answer 1 offers diversity, Answer 2's clarity, alignment with the original question's intent, and structured format make it the better choice overall."", 'Overall': {'Winner': 'Answer 2'}}"
8,"Question: Stock Alpha just paid out a dividend of $50 today. The dividend payment will be made annually with a 2% growth rate over the next 15 years. After that, the dividend payments will remain at a constant level. The required return is 9%. Stock Gamma is going to pay a dividend of $15 today, and it will make constant quarterly dividend payments till forever. The current market price is $765. Which of the below statement(s) is(are) true about stock Alpha and stock Gamma? I. In terms of APR, the required return is lower for stock Alpha than stock Gamma II. Price of stock Alpha today is higher than stock Gamma
Type: multiple-choice
Options:
    a. None of the statements are true
    b. I only
    c. II only
    d. Both I and II are true
","**Question:**  
TechGen Inc. just paid an annual dividend of $2.00 per share. Analysts expect the company's dividends to grow at a high rate of 15% per year for the next five years. After that, the growth rate is expected to stabilize at a constant rate of 5% per year indefinitely. If the required rate of return for TechGen's stock is 12%, what is the current intrinsic value of the stock?  

**Type:** short-answer  
**Options:** No options provided.  

**Knowledge points:**  
Dividend Discount Model DDM, Two-stage growth model, Present value of dividends and terminal value.","**Question:**  
Stock Beta recently paid a dividend of $25 today. The dividend will grow at a rate of 5% annually for the next 10 years, after which it will stabilize and remain constant indefinitely. The required return on the stock is 12%. Stock Delta pays a quarterly dividend of $8, and these payments will continue forever. The current market price of Stock Delta is $320. Which of the following statements is/are true about Stock Beta and Stock Delta?  

**I.** The effective annual required return is higher for Stock Beta than for Stock Delta.  
**II.** The current price of Stock Beta is greater than the current price of Stock Delta.  

**Type:** multiple-choice  
**Options:**  
a. None of the statements are true  
b. I only  
c. II only  
d. Both I and II are true","{'Completeness': {'Winner': 'Answer 2', 'Explanation': 'Answer 2 is more complete as it includes all necessary components: a clear stem, constraints (growth rates, time periods, required returns), and a query (which statements are true). It also provides multiple-choice options, making it solvable without ambiguity. Answer 1, while clear, lacks options and is a short-answer question, which may not be as immediately solvable in a standardized testing context.'}, 'Knowledge Alignment': {'Winner': 'Answer 2', 'Explanation': ""Answer 2 aligns more closely with the original question's knowledge points, which involve comparing two stocks with different dividend growth patterns and required returns. It also maintains the multiple-choice format, testing the same cognitive level of analysis and comparison. Answer 1, while relevant, shifts the focus to a single stock and a short-answer format, which slightly deviates from the original question's intent.""}, 'Diversity': {'Winner': 'Answer 2', 'Explanation': ""Answer 2 introduces diversity by maintaining the original question's comparative approach between two stocks, similar to the original question. It also keeps the multiple-choice format, which offers varied perspectives through the options provided. Answer 1, while well-structured, does not offer the same level of diversity in assessment as it focuses on a single scenario and a short-answer format.""}, 'Overall': {'Winner': 'Answer 2'}}"
9,"Question: You just bought an insurance that costs you $510,000 at the beginning of the year. The insurance is an annuity that will pay you $50,000 at the end of each year. The first payment would be made at the end of this year. If it takes you 20 years to earn back what you paid, what is the APR of this annuity? Choose the closest answer.
Type: multiple-choice
Options:
    a. 5.5%
    b. 6.0%
    c. 6.5%
    d. 7.5%
    e. 8.0%
    f. 9.0%
","**Question:**  

You are considering two investment options to fund your child's college education. The first option is an annuity that pays $3,000 at the beginning of each year for 10 years. The second option is an annuity that pays a different amount at the end of each year for the same duration. The annual discount rate is 6.5%.  

(a) What is the present value of the first annuity (paying at the beginning of each year)?  

(b) If the two annuities have equal present values, how much does the second annuity pay each year (at the end of each year)?  

(c) Suppose you decide to make a single lump-sum investment today instead of using either annuity. How much would you need to invest today to match the present value of the first annuity?  

**Type:** long-answer  
**Options:** No options provided.  

**Knowledge Points:**  
- Annuities due vs. ordinary annuities  
- Present value (PV) calculations  
- Discount rate application  
- Lump-sum equivalent of annuity cash flows","**Question:** You purchase an annuity that costs $250,000 upfront. The annuity will pay you $20,000 at the end of each year for the next 15 years. If you break even on your investment after 12 years, what is the approximate annual percentage rate (APR) of this annuity? Choose the closest answer.  

**Type:** multiple-choice  
**Options:**  
a. 4.0%  
b. 4.5%  
c. 5.0%  
d. 5.5%  
e. 6.0%  
f. 6.5%","{'Completeness': {'Winner': 'Answer 2', 'Explanation': 'Answer 2 is more complete as it provides all necessary components (stem, constraints, and query) in a single, clear question. It also includes multiple-choice options, making it solvable without ambiguity. Answer 1, while detailed, splits the problem into three parts and lacks options, which could lead to ambiguity in interpretation or solution approach.'}, 'Knowledge Alignment': {'Winner': 'Answer 2', 'Explanation': ""Answer 2 aligns more closely with the original question's knowledge point, focusing on calculating the APR of an annuity, which is the core concept. Answer 1, while covering related annuity concepts, deviates by introducing multiple sub-questions about present value and lump-sum equivalents, which are not the primary focus of the original question.""}, 'Diversity': {'Winner': 'Answer 1', 'Explanation': ""Answer 1 introduces more diversity by exploring different aspects of annuities (annuities due vs. ordinary annuities, present value calculations, and lump-sum equivalents) and uses a long-answer format. This provides varied perspectives and deeper engagement with the topic. Answer 2, while clear and aligned, sticks closely to the original question's format and does not introduce as much diversity in approach or content.""}, 'Overall': {'Winner': 'Answer 2'}}"
10,"Question: Which of the below statement(s) is(are) true about the term structure? I. Assume the term structure is upward sloping now. All else unchanged, if the expected long-term inflation increases relative to the short-term inflation, the slope of the term structure will become steeper. II. Assume the term structure is downward sloping now and the real rate is flat. It is likely the expected long-term inflation is lower than the short-term inflation. III. Assume the term structure is downward sloping now and the real rate is flat. It is likely the long-term interest rate risk premium is lower than the short-term interest rate risk premium.
Type: multiple-choice
Options:
    a. I and III only
    b. II and III only
    c. I, II and III
    d. None of the statements are true
","**Question:** Which of the following factors would most likely lead to a steeper yield curve?  

**Type:** multiple-choice  
**Options:**  
A. Decreasing short-term interest rates and stable long-term inflation expectations  
B. Increasing short-term interest rates and declining long-term inflation expectations  
C. Stable short-term interest rates and increasing long-term inflation expectations  
D. Decreasing short-term interest rates and declining long-term inflation expectations  
E. Increasing short-term and long-term interest rates at the same pace  

**Knowledge Points:**  
- Yield curve slope dynamics  
- Inflation expectations impact on term structure  
- Interest rate risk premium influence on yield curve shape","**Question:** Which of the following statement(s) is(are) true about yield curves?  
I. If the yield curve is upward sloping and the Federal Reserve signals a future increase in short-term interest rates, the yield curve is likely to flatten.  
II. A flat yield curve implies that the market expects no change in future interest rates.  
III. An inverted yield curve suggests that long-term inflation expectations are lower than short-term inflation expectations.  

**Type:** multiple-choice  
**Options:**  
a. I and II only  
b. II and III only  
c. I and III only  
d. None of the statements are true","{'Completeness': {'Winner': 'Answer 1', 'Explanation': 'Answer 1 provides a clear stem, specific constraints (factors affecting the yield curve), and a direct query (which factor would most likely lead to a steeper yield curve). The options are also well-defined and cover a range of scenarios. Answer 2, while complete, is slightly less direct in its query and includes statements that could be more clearly linked to the question stem.'}, 'Knowledge Alignment': {'Winner': 'Answer 1', 'Explanation': ""Answer 1 directly targets the knowledge points related to yield curve slope dynamics, inflation expectations, and interest rate risk premiums, aligning well with the original question's focus. Answer 2 also aligns with the knowledge points but includes a statement (II) that is less directly related to the original question's focus on term structure and inflation expectations.""}, 'Diversity': {'Winner': 'Answer 2', 'Explanation': 'Answer 2 introduces more varied perspectives by including statements about Federal Reserve signals and market expectations, which add depth to the assessment of yield curves. Answer 1, while clear and aligned, sticks to a more straightforward format without introducing as much diversity in perspectives or scenarios.'}, 'Overall': {'Winner': 'Answer 1'}}"
